State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,state_abbr
Arizona,Maricopa,2001,365,25,256,71,13,0,0,185,122,80,0,68,200,70,27,AZ
Ohio,Franklin,2001,365,58,263,35,9,0,0,187,105,66,0,0,86,278,1,OH
Oregon,Washington,2001,123,80,42,1,0,0,0,128,70,38,0,0,0,123,0,OR
Virginia,Loudoun,2001,365,221,116,20,8,0,0,197,97,45,0,121,164,80,0,VA
Arizona,Maricopa,2002,365,28,248,75,13,1,0,202,122,80,3,93,202,38,29,AZ
Ohio,Franklin,2002,365,43,265,30,26,1,0,214,129,64,0,0,103,261,1,OH
Oregon,Washington,2002,122,78,40,3,1,0,0,158,74,38,0,0,0,122,0,OR
Virginia,Loudoun,2002,363,206,95,39,22,1,0,215,126,46,0,113,178,72,0,VA
Arizona,Maricopa,2003,365,42,248,65,10,0,0,195,122,74,6,124,190,31,14,AZ
Ohio,Franklin,2003,365,44,287,27,5,2,0,225,97,63,0,0,68,294,3,OH
Oregon,Washington,2003,116,78,37,1,0,0,0,107,67,34,0,0,0,116,0,OR
Virginia,Loudoun,2003,365,234,112,16,2,1,0,212,77,43,0,122,149,94,0,VA
Arizona,Maricopa,2004,366,59,256,48,2,0,1,375,105,68,1,94,185,37,49,AZ
Ohio,Franklin,2004,366,76,266,23,1,0,0,151,90,62,0,0,62,301,3,OH
Oregon,Washington,2004,303,185,110,7,1,0,0,163,80,42,0,0,0,303,0,OR
Virginia,Loudoun,2004,365,243,108,12,1,1,0,202,80,42,0,125,146,94,0,VA
Arizona,Maricopa,2005,365,47,229,78,11,0,0,177,126,79,1,52,168,25,119,AZ
Ohio,Franklin,2005,365,188,134,36,6,1,0,201,105,50,13,0,169,85,98,OH
Oregon,Washington,2005,365,245,110,7,3,0,0,155,74,33,0,0,0,365,0,OR
Virginia,Loudoun,2005,348,236,99,13,0,0,0,140,74,33,0,184,68,96,0,VA
Arizona,Maricopa,2006,365,26,236,88,15,0,0,179,126,84,0,29,165,22,149,AZ
Ohio,Franklin,2006,365,206,134,23,2,0,0,154,93,47,10,0,165,90,100,OH
Oregon,Washington,2006,364,273,86,5,0,0,0,148,68,28,0,0,0,364,0,OR
Virginia,Loudoun,2006,355,230,105,18,2,0,0,192,86,44,0,101,162,92,0,VA
Arizona,Maricopa,2007,365,37,262,64,1,0,1,408,115,77,0,46,164,26,129,AZ
Ohio,Franklin,2007,364,192,131,35,6,0,0,172,105,48,48,0,177,83,56,OH
Oregon,Washington,2007,365,252,101,11,1,0,0,158,76,30,0,0,0,365,0,OR
Virginia,Loudoun,2007,363,222,109,27,5,0,0,164,97,44,0,110,181,72,0,VA
Arizona,Maricopa,2008,366,62,244,59,1,0,0,162,108,66,0,63,168,33,102,AZ
Ohio,Franklin,2008,366,210,137,18,1,0,0,174,84,47,102,0,175,86,3,OH
Oregon,Washington,2008,366,247,114,5,0,0,0,137,71,33,0,0,32,334,0,OR
Virginia,Loudoun,2008,366,248,102,13,3,0,0,187,74,40,0,107,179,80,0,VA
