year,state_abbr,res_price_cents_kwh,state
1990,AZ,9.04,Arizona
1990,AZ,9.04,Arizona
1991,AZ,9.14,Arizona
1991,AZ,9.14,Arizona
1992,AZ,9.58,Arizona
1992,AZ,9.58,Arizona
1993,AZ,9.65,Arizona
1993,AZ,9.65,Arizona
1994,AZ,9.3,Arizona
1994,AZ,9.3,Arizona
1995,AZ,9.09,Arizona
1995,AZ,9.09,Arizona
1996,AZ,8.95,Arizona
1996,AZ,8.95,Arizona
1997,AZ,8.82,Arizona
1997,AZ,8.82,Arizona
1998,AZ,8.68,Arizona
1998,AZ,8.68,Arizona
1999,AZ,8.53,Arizona
1999,AZ,8.53,Arizona
2000,AZ,8.44,Arizona
2000,AZ,8.44,Arizona
2000,AZ,0.0,Arizona
2000,AZ,0.0,Arizona
2001,AZ,8.3,Arizona
2001,AZ,8.3,Arizona
2002,AZ,8.27,Arizona
2002,AZ,8.27,Arizona
2003,AZ,8.35,Arizona
2003,AZ,8.35,Arizona
2004,AZ,8.46,Arizona
2004,AZ,8.46,Arizona
2005,AZ,8.86,Arizona
2005,AZ,8.86,Arizona
2006,AZ,9.4,Arizona
2006,AZ,9.4,Arizona
2007,AZ,9.66,Arizona
2007,AZ,9.66,Arizona
2008,AZ,10.27,Arizona
2008,AZ,10.27,Arizona
2009,AZ,10.73,Arizona
2009,AZ,10.73,Arizona
2010,AZ,10.97,Arizona
2010,AZ,10.97,Arizona
2011,AZ,11.08,Arizona
2011,AZ,11.08,Arizona
2012,AZ,11.29,Arizona
2012,AZ,11.29,Arizona
2013,AZ,11.71,Arizona
2013,AZ,11.71,Arizona
2014,AZ,11.9,Arizona
2014,AZ,11.9,Arizona
2015,AZ,12.13,Arizona
2015,AZ,12.13,Arizona
2016,AZ,12.15,Arizona
2016,AZ,12.15,Arizona
2017,AZ,12.44,Arizona
2017,AZ,12.44,Arizona
2018,AZ,12.77,Arizona
2018,AZ,12.77,Arizona
2019,AZ,12.43,Arizona
2019,AZ,12.43,Arizona
2020,AZ,12.27,Arizona
2020,AZ,12.27,Arizona
1990,OH,8.05,Ohio
1990,OH,8.05,Ohio
1991,OH,8.16,Ohio
1991,OH,8.16,Ohio
1992,OH,8.24,Ohio
1992,OH,8.24,Ohio
1993,OH,8.36,Ohio
1993,OH,8.36,Ohio
1994,OH,8.56,Ohio
1994,OH,8.56,Ohio
1995,OH,8.6,Ohio
1995,OH,8.6,Ohio
1996,OH,8.6,Ohio
1996,OH,8.6,Ohio
1997,OH,8.63,Ohio
1997,OH,8.63,Ohio
1998,OH,8.7,Ohio
1998,OH,8.7,Ohio
1999,OH,8.68,Ohio
1999,OH,8.68,Ohio
1999,OH,0.0,Ohio
1999,OH,0.0,Ohio
2000,OH,8.61,Ohio
2000,OH,8.61,Ohio
2000,OH,0.0,Ohio
2000,OH,0.0,Ohio
2000,OH,0.0,Ohio
2001,OH,8.37,Ohio
2001,OH,8.32,Ohio
2001,OH,9.83,Ohio
2001,OH,3.72,Ohio
2001,OH,6.11,Ohio
2002,OH,8.24,Ohio
2002,OH,7.98,Ohio
2002,OH,10.56,Ohio
2002,OH,4.45,Ohio
2002,OH,6.11,Ohio
2003,OH,8.26,Ohio
2003,OH,7.95,Ohio
2003,OH,10.31,Ohio
2003,OH,4.48,Ohio
2003,OH,5.83,Ohio
2004,OH,8.45,Ohio
2004,OH,8.14,Ohio
2004,OH,10.29,Ohio
2004,OH,4.74,Ohio
2004,OH,5.55,Ohio
2005,OH,8.51,Ohio
2005,OH,8.19,Ohio
2005,OH,10.43,Ohio
2005,OH,5.07,Ohio
2005,OH,5.36,Ohio
2006,OH,9.34,Ohio
2006,OH,9.31,Ohio
2006,OH,10.11,Ohio
2006,OH,5.04,Ohio
2006,OH,5.07,Ohio
2007,OH,9.57,Ohio
2007,OH,9.54,Ohio
2007,OH,10.33,Ohio
2007,OH,5.31,Ohio
2007,OH,5.02,Ohio
2008,OH,10.06,Ohio
2008,OH,10.03,Ohio
2008,OH,10.74,Ohio
2008,OH,5.52,Ohio
2008,OH,5.22,Ohio
2009,OH,10.67,Ohio
2009,OH,10.63,Ohio
2009,OH,11.39,Ohio
2009,OH,6.24,Ohio
2009,OH,5.16,Ohio
2010,OH,11.31,Ohio
2010,OH,11.31,Ohio
2010,OH,11.32,Ohio
2010,OH,6.53,Ohio
2010,OH,4.79,Ohio
2011,OH,11.42,Ohio
2011,OH,11.57,Ohio
2011,OH,11.04,Ohio
2011,OH,6.55,Ohio
2011,OH,4.49,Ohio
2012,OH,11.76,Ohio
2012,OH,12.02,Ohio
2012,OH,11.28,Ohio
2012,OH,6.11,Ohio
2012,OH,5.18,Ohio
2013,OH,12.01,Ohio
2013,OH,12.44,Ohio
2013,OH,11.4,Ohio
2013,OH,6.08,Ohio
2013,OH,5.33,Ohio
2014,OH,12.5,Ohio
2014,OH,12.87,Ohio
2014,OH,12.03,Ohio
2014,OH,6.51,Ohio
2014,OH,5.53,Ohio
2015,OH,12.8,Ohio
2015,OH,12.77,Ohio
2015,OH,12.84,Ohio
2015,OH,6.92,Ohio
2015,OH,5.92,Ohio
2016,OH,12.47,Ohio
2016,OH,12.52,Ohio
2016,OH,12.41,Ohio
2016,OH,6.39,Ohio
2016,OH,6.03,Ohio
2017,OH,12.63,Ohio
2017,OH,12.54,Ohio
2017,OH,12.74,Ohio
2017,OH,6.23,Ohio
2017,OH,6.5,Ohio
2018,OH,12.56,Ohio
2018,OH,12.37,Ohio
2018,OH,12.79,Ohio
2018,OH,6.17,Ohio
2018,OH,6.62,Ohio
2019,OH,12.38,Ohio
2019,OH,12.19,Ohio
2019,OH,12.59,Ohio
2019,OH,6.12,Ohio
2019,OH,6.47,Ohio
2020,OH,12.29,Ohio
2020,OH,12.24,Ohio
2020,OH,12.34,Ohio
2020,OH,5.86,Ohio
2020,OH,6.48,Ohio
1990,OR,4.73,Oregon
1990,OR,4.73,Oregon
1991,OR,4.81,Oregon
1991,OR,4.81,Oregon
1992,OR,4.93,Oregon
1992,OR,4.93,Oregon
1993,OR,5.02,Oregon
1993,OR,5.02,Oregon
1994,OR,5.33,Oregon
1994,OR,5.33,Oregon
1995,OR,5.49,Oregon
1995,OR,5.49,Oregon
1996,OR,5.69,Oregon
1996,OR,5.69,Oregon
1997,OR,5.56,Oregon
1997,OR,5.56,Oregon
1997,OR,0.0,Oregon
1997,OR,0.0,Oregon
1998,OR,5.82,Oregon
1998,OR,5.82,Oregon
1998,OR,8.26,Oregon
1998,OR,8.26,Oregon
1999,OR,5.75,Oregon
1999,OR,5.75,Oregon
1999,OR,0.0,Oregon
1999,OR,0.0,Oregon
2000,OR,5.88,Oregon
2000,OR,5.88,Oregon
2001,OR,6.29,Oregon
2001,OR,6.29,Oregon
2002,OR,7.12,Oregon
2002,OR,7.12,Oregon
2003,OR,7.06,Oregon
2003,OR,7.06,Oregon
2004,OR,7.18,Oregon
2004,OR,7.18,Oregon
2004,OR,0.0,Oregon
2004,OR,0.0,Oregon
2004,OR,0.0,Oregon
2005,OR,7.25,Oregon
2005,OR,7.25,Oregon
2005,OR,0.0,Oregon
2005,OR,0.0,Oregon
2005,OR,0.0,Oregon
2006,OR,7.48,Oregon
2006,OR,7.48,Oregon
2006,OR,0.0,Oregon
2006,OR,0.0,Oregon
2006,OR,0.0,Oregon
2007,OR,8.19,Oregon
2007,OR,8.19,Oregon
2007,OR,0.0,Oregon
2007,OR,0.0,Oregon
2007,OR,0.0,Oregon
2008,OR,8.49,Oregon
2008,OR,8.49,Oregon
2008,OR,0.0,Oregon
2008,OR,0.0,Oregon
2008,OR,0.0,Oregon
2009,OR,8.68,Oregon
2009,OR,8.68,Oregon
2009,OR,0.0,Oregon
2009,OR,0.0,Oregon
2009,OR,0.0,Oregon
2010,OR,8.87,Oregon
2010,OR,8.87,Oregon
2010,OR,0.0,Oregon
2010,OR,0.0,Oregon
2010,OR,0.0,Oregon
2011,OR,9.54,Oregon
2011,OR,9.54,Oregon
2011,OR,0.0,Oregon
2011,OR,0.0,Oregon
