region,year,event
Virginia,2018,Loudoun Co. data center boom accelerates; county zoning fast-track enacted
Virginia,2023,Dominion Biennial Review rate case filed (DEV 2023)
Virginia,2026,SCC approves $565.7M Dominion rate increase; +$11.24/mo residential bill
Virginia,2027,New GS-5 data center rate class takes effect (Jan 1)
Arizona,2020,Data center buildout in Maricopa Co. accelerates post-COVID
Arizona,2022,APS rate case — first increase directly linked to data center load growth
Arizona,2024,APS testifies data centers caused 94% of all load growth 2023-2025
Arizona,2025,SRP passes rate hike structurally lower for data centers than residences
Ohio,2020,AEP Ohio data center load ~100 MW
Ohio,2024,AEP Ohio data center load reaches 600 MW (6x growth in 4 years)
Ohio,2025,"PUCO orders AEP Ohio data-center-specific tariff (85% min demand, 12-yr contracts)"
Ohio,2026,PUCO rate order reduces residential distribution costs by $1.22/mo for 18 months
Oregon,2022,"PGE residential rates begin rapid climb (+7% in 2023, +18% in 2024, +5.5% in 2025)"
Oregon,2024,Oregon passes law requiring data centers to pay their own infrastructure costs
Oregon,2025,Utility watchdogs accuse PGE of skirting new law; Oregon PUC opens review
